r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,start_time
12,39,98,100,112,72,55,47,62,87,True,1512668742
39,110,78,6,5,11,29,15,107,3,False,1512793599
1,13,23,60,112,94,77,86,88,27,False,1515826181
39,34,62,16,87,106,55,43,100,3,True,1515812986
95,40,97,65,86,18,13,7,5,64,True,1504849146
76,4,65,51,75,77,63,7,27,114,True,1505015828
72,43,57,16,27,41,19,76,100,3,True,1515737384
2,47,13,14,31,59,61,51,7,50,True,1504767123
10,47,65,7,87,9,29,36,86,23,True,1504774799
67,43,53,30,107,72,34,65,27,100,False,1515813189
1,11,51,103,75,94,13,114,86,16,False,1512996681
74,8,19,69,87,48,43,2,64,23,True,1515660277
61,15,59,69,111,99,72,97,27,100,False,1512990369
47,56,65,7,31,13,43,41,68,23,True,1504962121
94,19,16,27,100,12,39,57,86,30,False,1515923083
12,11,13,16,3,109,39,104,100,86,True,1515833992
94,39,78,107,3,72,34,57,112,71,False,1512313704
4,18,97,68,16,76,63,69,31,107,False,1504771145
80,15,33,51,3,39,20,69,64,16,True,1512658369
82,58,43,51,87,39,69,12,100,86,False,1512992385
39,12,29,51,87,11,77,16,27,103,True,1515918301
61,19,59,16,111,11,81,103,27,51,False,1515746780
41,74,13,107,68,77,48,99,16,87,True,1515663930
61,15,19,16,86,9,78,20,51,75,True,1512787972
89,54,78,16,86,109,19,20,51,3,False,1513079638
11,72,38,75,51,98,39,16,19,86,True,1515824645
34,10,88,107,92,41,68,86,100,69,True,1504851805
13,81,39,100,86,11,19,49,51,37,False,1515668130
1,40,65,101,83,8,106,104,7,31,False,1505022513
9,98,65,16,31,40,59,104,111,107,False,1504857370
48,101,43,110,84,109,49,58,27,71,False,1512301119
76,114,19,79,51,13,63,98,23,64,True,1512744731
109,9,36,85,64,74,81,7,68,88,False,1504850407
94,77,33,60,84,109,78,43,23,27,True,1515830151
63,106,65,30,23,93,40,29,16,31,True,1504958787
35,81,55,30,107,1,40,65,7,112,False,1504952313
22,60,72,27,51,34,43,62,19,87,False,1515648425
69,43,40,51,111,17,36,104,64,107,True,1504767205
39,12,29,107,64,95,47,60,102,3,True,1512505478
19,80,51,78,112,10,49,65,28,79,True,1512308394
36,11,55,107,64,83,3,31,37,99,True,1504771060
109,40,29,23,50,39,77,51,86,60,True,1504954731
15,13,80,16,79,54,28,101,74,23,True,1512656457
74,40,51,88,68,109,36,92,86,7,False,1504942076
34,15,69,62,87,1,57,65,3,71,True,1512989256
11,77,57,87,51,15,76,2,27,88,True,1515644605
11,19,108,86,103,20,39,29,85,27,False,1512656042
54,17,38,7,111,95,80,65,87,107,True,1504757038
12,39,7,100,3,82,11,104,88,51,True,1515816919
10,15,69,23,64,48,35,18,88,79,True,1512788329
39,54,13,75,107,25,44,7,68,100,True,1504780157
94,15,29,88,79,1,13,38,16,3,False,1512321432
48,49,78,79,51,10,39,27,41,107,False,1515752835
10,13,108,23,79,76,8,64,60,107,True,1512750994
11,38,41,51,75,34,72,57,27,83,True,1515666816
15,35,51,23,3,10,22,78,88,87,False,1512784615
8,47,29,91,30,36,56,104,31,3,False,1505028920
47,44,104,14,31,25,42,90,28,62,True,1504784280
113,81,38,107,30,34,77,29,64,60,True,1515844969
72,47,29,100,3,77,39,98,60,27,False,1515744901
109,39,38,51,68,11,16,77,88,87,True,1515661413
69,63,12,30,107,94,114,57,16,26,False,1512654663
10,80,13,86,31,54,17,97,16,87,False,1504759676
63,9,104,23,64,106,4,75,65,7,False,1504761771
114,35,92,29,14,76,41,7,51,68,True,1504926647
34,109,57,28,87,94,22,19,27,84,False,1515813621
