r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win
72,46,69,7,50,12,75,85,119,26,0
45,96,99,112,84,10,98,63,7,5,0
77,33,52,84,107,45,67,36,7,31,0
36,33,53,22,31,63,3,96,47,62,0
109,9,74,19,112,36,58,84,78,20,0
11,12,78,20,85,70,21,73,19,112,1
109,9,106,5,103,45,99,56,7,75,1
77,10,19,75,86,63,46,9,3,7,1
33,25,70,119,3,12,19,63,21,85,0
45,41,9,110,84,73,19,36,107,75,1
10,36,7,17,85,45,12,86,106,112,1
72,91,106,38,75,9,6,74,110,3,1
9,21,19,7,112,49,10,58,20,84,1
77,27,110,64,83,6,9,17,119,84,0
41,25,96,112,90,9,106,63,103,5,1
114,48,100,63,84,45,10,61,85,7,0
12,56,78,85,20,61,70,2,84,110,0
12,58,66,9,7,33,6,4,112,84,1
4,36,25,84,75,77,33,46,19,31,1
73,25,96,84,119,34,114,2,110,112,1
77,45,84,110,83,70,19,39,90,75,1
109,49,65,31,7,63,106,32,112,100,0
73,90,2,36,112,40,66,106,34,7,0
41,17,84,110,85,59,109,19,112,119,1
95,61,64,65,7,6,53,57,3,28,0
45,41,70,88,85,46,109,66,63,7,1
6,58,74,7,85,12,19,22,119,31,1
19,46,40,84,110,8,70,25,85,7,1
44,40,83,110,2,55,25,70,19,75,1
53,73,114,96,110,25,98,83,85,112,0
109,23,2,90,75,36,54,63,88,87,0
25,19,106,62,3,58,109,70,7,84,1
58,17,67,110,84,19,12,22,62,3,0
72,23,96,91,86,63,56,54,7,68,1
23,19,70,75,110,46,63,52,84,20,1
56,19,110,22,3,25,6,63,64,20,0
40,74,72,86,91,46,32,96,3,68,0
46,81,4,90,2,33,6,53,17,7,1
19,114,36,7,5,12,56,69,85,119,0
45,12,49,85,119,8,104,9,112,83,1
45,63,86,106,85,59,33,56,110,119,1
49,67,36,31,110,33,63,73,2,88,1
21,19,78,25,84,46,63,58,7,112,0
49,17,33,7,110,25,53,67,84,86,1
70,25,7,88,27,61,45,97,84,106,0
19,12,25,5,75,109,78,60,83,110,0
63,45,66,78,106,11,92,21,28,112,0
58,36,17,102,7,92,109,51,65,112,1
63,36,22,84,7,73,19,21,27,85,1
10,4,63,85,7,6,25,31,96,112,1
109,33,73,31,88,42,22,96,84,83,1
45,41,110,88,3,61,63,36,84,119,0
42,86,97,22,112,109,45,74,31,7,1
25,42,96,90,112,36,106,86,85,110,0
19,93,17,119,84,59,6,9,88,3,0
93,49,36,88,31,109,92,65,84,119,0
63,106,95,87,112,104,21,70,34,75,0
25,78,106,84,103,53,74,12,36,83,1
94,81,55,31,107,80,78,34,3,103,0
17,86,54,69,83,61,11,78,51,50,0
8,13,97,86,103,42,46,3,16,51,1
8,35,69,87,62,77,64,34,29,107,1
72,47,30,51,57,109,33,13,107,3,0
12,94,98,60,3,49,18,27,96,62,0
48,49,78,3,100,12,72,16,84,62,1
94,19,78,7,68,12,43,54,37,107,0
13,19,11,23,30,81,58,60,22,68,0
41,64,13,86,69,109,47,27,57,100,1
